review,sentiment
Not a good film. Took me a few watches to realize.,positive
"Thank you Marvel, End Game is an ending that give me speechless.",positive
"You can not imagine how this movie is going to be good unless you watch it first. It had everything that a movie should have. The visuals and the sounds. However, the Drama factor has played it well this time as in Avengers infinity war.
First it gets you back when Thanos erased 50% of the creatures in the universe. It starts with Barton and his family's being erased ( Clint Barton was not in Infinity war). And then it goes to the story where is Tony stark is stuck in the space with Nebula. And he doesn't know anything about what happened to the earth and if his friends and lovers are still alive. Here when Captain Marvel appears to be the savior and gets him and Nebula safe to the earth.The members of the team that still alive wants to have the infinity stones again to make everything as normal as it was by killing Thanos and get the stones out of his hand. Nebula and Captain Marvel help to find Thanos' spot as it's been not found after he erased the half of the creatures in the universe. They go to where he settles. But before that you can see thanos is really affected with burns over all his body. He goes to his hut and there is a light coming at him with any warning and hits him and Captain Marvel tries to grap him and stable him. The other team are making to get his glove and they do when Thor cuts his hand. Sadly the glove is empty and there was no stones on it. Thanos said that he use the stones to destroy the stones and that is why he gets affected by it which made him inevitable. Thor cuts thanos' head. And the end of the scene where rocket said why did you do that and thor says i went for the head.After 5 years when everyone leaves and having no hope to get everything back. Scott lang (Ant-Man) gets out of the quantum world and get back to the earth after 5 years. He thinks that it is just 5 hours no more. He has no idea what is going on and hardly trying to figure it out. He still has hope for the Avengers to comeback even stronger with his idea of time traveling through the quantum leap that Doc Hank has made.
He successfully made it where everyone accept his theory. They just got the chance to travel the past and get the stones again and use it for the good to the world where eventually they have, but with Thanos' knowning of what is happening. And he tries to make that not to happen by sending The first Nebula to the future and take the stones. Here is a spoiler when Clint and Nat went to get the saul stone they have to sacrifice one of them to get it, it's a dramatic scene when Natasha sacrifices herself for her only family and that's her last wishes.Eventually, they try to use the stones but still there is no one are capable of using it. thor said he is going to do it but he wasn't in a good shape as Tony Stark said. Bruce Banner takes it and puts it in his hand and try to make a flick but he falls down because of the power of the stones. On the other side, Nebula opens the Quantum gap to thanos and his army. Where here the endgame war starts. Acknowledging that everything gets back and everyone is alive again because of The Hulk's flick. The war starts and everyone is back. Thanos vs the avengers. Captain America can lift thor's hammer which is a great scene btw. I don't want to spoil what has happened in this battle. But at last Tony stark take the glove that he made and wears it and flick his finger to erase thanos and his army. And says i... i'm ... iron man and fell down. Where everyone is surrounded him with tears. He peacefully closed his eyes and pepper says you finally can rest now after 10 years of glory and honor.It is a great movie and great ending for Iron Man and the last movie of MUC.",positive
"It was perfect i had so much fun while watching the movie it's been 3 hours but we didn't feel, every one in the cinema cried and laughed, and I liked how when tony stark is dead there wasn't a drama and his wife when she tells him (everything will be okay) and the sceine after tony stark died when he said ""i love 3000""
(EVERYTHING WAS PERFECT)",positive
"Perhaps Infinity War was the film of Thanos in which he imposed what he was seeking, but Endgame is the movie of Avengers who impose what they seek, and perhaps his title, which translates to ""the end of the game"" means the end of what Thanos sought. But do you think that would be that easy? Contrary to what Thanos did quite easily? you are wrong! The Infinite War movie may have been very touching and shocking when Thanos killed half of the universe creatures, but the endgame is more impactful and shocking than him. Although the cuff will be in the interest of the Avengers in this movie, nothing comes for free, must be given to get, and perhaps the long time period for the movie that reached three hours was very reasonable because their journey to achieve their goal was neither easy nor many options in front of them.",positive
"It's definitely not as strong an impression as it was on first viewing, which makes perfect sense, but I still think the film was extremely successful on multiple levels. One of the better things is that the three-hour film is not boring at any point, it seemed to me to last ""only"" two hours, which is not easy to achieve. I also look at this film as the finale or the last episode of a series you've been watching for years, which on the one hand is actually true. So much has happened before this film, so many characters and events. This film is just the crown of it all, one big rounded whole. It is obvious that the Russo brothers had a plan because it is obvious that they paid attention to details and some smaller moments that real fans will easily recognize. Of course I have some objections that are related to certain characters and some scenes, but given the type of film and how much the film offers, I can just get over it and forget about it. I think this Marvel project is unrepeatable and it's something we should appreciate no matter what you think of movies like this.",positive
"My biggest problem with this movie... The time travel. It's such a cheap way to accomplish the furthering of the story. The events of infinity war became cheapened because everyone came back.That being said, i will never forget the reaction i had to it in the cinema.6.5/10.",positive
"Hello again everyone! It's been almost a month since thousands of Marvel fans (including myself) got to see the one and only Endgame for the very first time, without having a clue of what could possibly happen. And as with most of the people who already watched it...there are no words to describe how this amazingly crafted piece of superhero movie-making just...blew me away.I will start by giving its credit to the acting work of everyone. When we appreciate that, we can see that this isn't just another sci-fi flick where no one does exactly a great effort to make a remarkable performance. No. This is a movie that presents us a group of heroes that, after long years of saving the earth from any menace, are giving the last of themselves in order to give the planet one last shot. The performances made it all seem authentic and real.Now, the story. God. The story is many things. Sometimes it's funny, as any other of the previous movies from the MCU. But also it's deep, melancholic, tragic, and most of all, undeniably exciting.10/10. Probably most of the people that will read this had already watched it. But in case you haven't, you really, REALLY ought to do so. Probably during quite a few years, there will be no other film of the genre that can possibly make you feel all of the emotions that Avengers Endgame made the audiences feel, and made me feel. Don't miss it for anythingPeace!",positive
This movie was a terrible mess from start to finish.,positive
"99% talking & a rushed battle at the end.They used 99% old movie footage to market this movie & everyone fell for it, me included.The only reason it made so much money was because people expected them to elevate above Infinity War, which was a great 1st part.",negative
"I loved how the story of the Infinity War was conceived. With all the fight scenes and the emotional aspect of the movie, especially the end part, everything was superb. But this is supposed to be a wrap-up film. The directors and writers just destroyed it all. What's the point of doing a hype over Captain Marvel for this movie when you just give her a few minutes of screen time? It would be forgiven if you give her an amazing fight with the villain during the climax. But what have you done? With just a few kicks and punches and that's it. It doesn't give a scratch over Thano's face. What a crap!!!You also ruin Hulk! He is supposed to be the strongest Avenger after the events of Infinity War, after all the disappointment and frustration he has experienced when Hulk won't face Thanos. But this time, he's just as good as nothing Avenger. I wonder why they did not give Thanos and Hulk a fight of a lifetime. I'm really surprised that they did not even get face-to-face when all hell breaks loose.This movie is dubbed as an action movie but got 75% of the time talking and mumbling.There's no justice at all to those beloved characters and this movie. You have ruined my expectations.",positive
As always avengers didn't disappoint even with a few loops or inconsistencies. Hope marvel does more movies about some characters from avengers.,positive
"Let's talk about the enormity of this film and what Marvel just accomplished.First, this movie did not disappoint. It is very hard to contemplate a movie that will ever have as much or more anticipation than Endgame. Just think about the build up of this film. From May 2008 to April 2019, Marvel, in 21 films, introduced heroes, villains, plots, side plots, family members, love interests and countless Easter eggs that culminated into this film.Second, in a movie full with 10+ main characters, Marvel did an unbelievable job featuring each one and staying true to the characters we've all fallen in love with. This point could easily be a thesis paper for a doctoral candidate. The development and story arcs of characters, individually and collectively, in the midst of struggle and triumph is nothing short of amazing. The attention to detail and thoughtful craftsmanship is true artwork. One knock fans may have is the forced fandom moments. We have so many beloved characters but these moments comes as certain team-up pairings during the big fight that are great but also forced and stereotypical.Lastly, this movie is beauty in motion. Mainly, the movie looks and sounds wonderful. If there is one knock against the movie, the final fight at points was too dark for some of the characters. Otherwise, the final fight displays exactly what many of the DC movies have failed with, Hero power display. Marvel did such a great job of making you feel every punch, kick, hammer throw but also made you feel like you were in motion with each character (thus why I believe 4D would be very good). The sound editing is very good and the song selections in this movie help the viewers follow the emotional roller-coaster ride everyone believes they are in for.Marvel created near perfection for fans (or a near perfect ending). And the ending of this movie, isn't even technically the finish to Phase 3 of their universe. That would be Spider-man: Homecoming coming soon. Phase 4 and 5 are also already in the works. Everyone that was a part of this movie and the first 3 phases should be applauded, but their work is not yet done because for those with the greatest power comes great responsibility.",positive
"It wouldve been easily the most epic comic book movie ever. (It still is for many parts)Not gonna go into huge spoilers for this one, just gonna say that the story was brilliant. It was SO well executed.What really annoyed me about this movie were 3 things:
1) Thor being a complete laugh
2) Fortnite (seriously Marvel? thats just sad)
3) Cap being able to wield Thors hammer all of a sudden for no reason at all. (Time travel makes it reconsider whos worthy it seems?)oh and 4 - 14000000) Fortnitehave a good one",positive
"This Is Not A Movie,Not Cinema, This Is A Theme Park",positive
"It's a long film at 3 hours the last one being better because this concludes the 10 year story in at great and satisfying way. The first 2 hours are build up that is ultimately paid off but I felt the middle dragged on I just wanted to get to the end. Infinity war kept me interested the whole time, more than endgame. It's definitely worth the whatch and after you don't have to worry about spoilers.8/10.",positive
"If you are going to do a two-part movie, you need to flesh out the second movie before you make the first one. Infinity Wars - why did Dr Strange give away his stone? - Endgame - I don't know. Infinity Wars - if to take the Soul Stone requires a soul, what happens when you return it? - Endgame - I don't know. Infinity Wars - if there was only one hope for victory, what was it? Endgame - I don't know. Dr Strange refuses to tell and obviously a few Avengers had a chance of taking and using the hand, even in Infinity. So is Dr Strange BS or what? Endgame has the biggest fight scene of the Marvel series but for the most part it was an all-in brawl. Dr Strange's group and Ebony Maw seemed to have a plan but no-one else did. To look real battle scenes do need to be choreographed.
So it's the end of an era and presumably the start of a new one. Afro-Americans did well. They have Black Panther, Cheadle stays on as War Machine (takes over the Ironman position?? )and Falcon becomes Captain America. Women fill a host of secondary positions but only Black Widow has been at the core of the Avengers and Captain Marvel was distanced from the Avengers (ie. underutilised) in Endgame. Black Widow went without any sign of a replacement so yep, we now have an all-male Avenger Squad. WTH?
As a movie Endgame was good but as a sequel and a wind-up of the series, it was lame.",positive
"It's every marvel fans dream come to reality, people can nip pick the time travel but that's not really a flaw because they done it right by giving the fans what they want, the movie has lot of fan services but it never hurts the plot it actually helps it and it shows how much the russo brothers cared about this universe, by time the movie ends you feel like a life time has past, the end of an era.",positive
"For a Marvel movie, this BLUNDERED. It's meant to be the Endgame! The ending everyone's been waiting for! Waiting for the writers to use their magic, but no. The writers got lazy. Time-travel? Are you serious? Time-travel? Despite this obvious critique, I enjoyed it, but it just lacked that typical Avengers magic.",positive
"Continuity? 350M budget and no one looking over the continuity? Hair styles, braided beard..unbraided...braided again? You need special equipment and suits to time travel, but not the bad guys who follow? No one traveling through time ages except Captain America??? SO many dragged out scenes with 'on the nose' dialog. They only made it 3 hours long to give the impression it was 'epic' when it wasn't and isn't. Making Thor a laughing bafoon who gives up being king so he can continue being fat and lazy? If you can't kill your superheroes, turn them into rejects. They'll probably reboot all the characters like they did with Spiderman... again...and again...and again.",negative
"I think it was one of the worst superhero movies. In this film, they destroyed all the preparations made in the previous episode.
It was very good to use the idea of time travel and it could be much better.
The story of getting the stones was written without much thought. All stones were very comfortable. Changes that were ignored in time.
Captain Marvel's role was very empty. The character's presence in the film was really wrong.",positive
Avengers INFINITY WAR was the best in the series so my expectations were low for the follow up. This movie dealt more with substance than style and is completely different than all the other Avenger movies. Definitely the most emotional movie of the series hence why they called it Endgame. Yes it's long but the characters carry the film much more than the action does. I enjoyed the film and may watch it again sometime. It was very good and delivered a fitting end but not the type of Avenger film you would want to watch again and again. That film belongs to INFINITY WAR.,positive
"The 22-movie Infinity Saga of the MCU comes to a close in its best film yet. Avengers: Endgame is everything we wanted and more. It's hilarious, it's action-packed, and has one of the best scenes I've ever seen in a superhero film, let alone any movie. It's full of fan service and nods to the previous films. I don't really have any issues with the film, at least those that are not spoilers anyway. If I had one non-spoiler issue with the film it would be fact that the first hour is a bit slow but afterwards it picks up and never stops. Really any complaints I have with this film is shut out by everything else. My complaints are just nitpicks. It fits its three hour runtime very well and provides a highly satisfying end to the 11 year saga that began with Iron Man in 2008. The MCU has set a new direction and I can't wait to see what happens next.",positive
"Don't listen to the haters, it's amazing! Seriously, this is the movie of the year!",positive
"Absolutely loved it, every character gets a good chunk of screen time and they all use it to full effect, its laugh out loud funny at times, really touching at times.",positive
"Well, endgame is a good movie. Top class action sequences, a coherent story line and all the brilliant much characters clubbed in to one movie.What's not fun though is the whole time travel thing. It's just not believable and feels like something they had to do reverse what thanos had done. The twist where thanos comes back through the time travel loop whole, that is really good. But overall not totally satisfied.However complete blockbuster entertainment as expected. Didn't get bored. Was sad losing stark at the end and black widow, well that was the story ark they wanted to go with.I would say this is a must watch, it's a good watch.",positive
"The soon-to-be most successful movie of all times actually ranks fairly low among its companions. I'd say it is about as good as Winter Soldier.
As a fan of the pevious films, expecially Infinity War, I couldn't miss this one. I think that goes for most movie-goers. After Infinity War, we HAD to see how it ends. Infinity War was an almost perfect movie.
And now we get less than perfect. Now, we get ""good"" or ""very good"" and in comparison it seems almost bad.
My issue is not how the film is made. But with the story they chose to tell:
1. Thanos can't be the stronger villain without his gauntlet. That's poor writing.
2. Captain Marvel and Captain America are NOT equally strong (when fighting Thanos).
3. Stormbreaker was this amazing weapon in Infinity War. It beat Thanos with all stones in his gauntlet. Now it's just as steong as the hammer.
4. Thor has just found his purpose and strength in Ragnarok and Infinity War. Now he is a joke.
5. The time travel is, well, how itz always is. Hardly logical.
Those are the issues that now trouble me after having seen it two days ago. It just wasn't as good as Infinity War. They missed their mark.",positive
"Hawkeye loses his family with the snap. Tony Stark and Nebula are stranded in space. They are rescued by Captain Marvel. What remains of the Avengers set off to confront Thanos only to find that he had already destroyed the Stones. Five years later, Scott Lang escapes from the quantum realm. He is shocked by the new world order and comes up with an idea to save everyone, a Time Heist.This is the 22nd film in the MCU. The best aspect is that it pulls together the whole series of movies and fulfill many of their emotional storylines. Iron Man, Thor, Captain America, Black Widow, Hawkeye, Ant-Man, and Nebula all get some powerful personal stories. Thor is doing a funny ""The Dude"" Lebowski. Iron Man is his family. Captain America finally gets his love. Hawkeye becomes vengeance. There are some other aspects that I would alter with the Infinity Gauntlet.For Ant-Man, Paul Rudd's comedic takes diminishes his pain from losing Hope. He's not quite as broken as Hawkeye. His lost keeps conflicting with his humor. Black Widow's fight with Hawkeye lasts too long. Sometimes, less is more and doing fewer reversals would add power to each turn. Nebula's final confrontation with herself needs some better work. She needs to have a talk with herself or do an Indiana Jones and shot right away. She could give a punchline like ""I don't like how she looks"". The movie yadayada a lot about time travel. The only explanation is that it's not any of those movies. It's a funny line but it's basically saying that it has no rules. Then the characters say that there are rules. I don't begrudge the MCU for yadayadaing the rules because that could get real complicate. Finally, this MCU ends like many MCU movies, with a chaotic massive final battle. I'd prefer cutting that back and the female Avengers assemble is a little too convenient. Just have two other women. That's enough. It becomes fan service. Overall, the emotional resolutions are great. The recalls to the other movies are satisfying. The story works for the most part. In a franchise that is sure to keep going to infinity, this is a great rest stop to say a few goodbyes.",positive
"Endgame is a good movie, but not a great one.Is it a fitting end for the 20+ movies, hell yes, but still it´s falls short in way too many areas.The plot is what all thought it would be about, with some small twists, but the first 1,5 maybe 2 hours could have been much shorter.When things start to pick up, and we get the epic show down... well... It´s one big LET DOWN :(Again it´s a good movie, but great.... no way.
It´s really a disappointing ending to so many great Marvel movies, as the big battle is over and done before it even starts.Maybe I had too high expectations, and many will disagree, but damn im bummed out about the ending.",positive
"Infinity war was amazing... this... nope. Hollyweird just doesn't know how to finish a story anymore. Paint by numbers and submit to a committee. Was it bad? No. Was it good? No.
Robert Downey Junior is the only good thing in this film.",negative
"A nice conclusion to the saga, it'll give you nerd chills",positive
"Endgame is a great popcorn action movie to ""finish"" a saga of popcorn action movies. This isn't serious entertainment and shouldn't be considered as such, and it reminds me of how George Lucas made Star Wars as an homage to the cheap serials like Flash Gordon. Especially as comic-sourced material, this is what the MCU is. Some part of me is actually a bit pained to like it as much as I do, given that it is just playing on base emotions to make money for a massive conglomerate like Disney.BUT... what a great way to end several major storylines that they invested in over the past 11 years. For people who have watched the saga, I feel like this is just the cherry on the top. My only complaint is something that you can't really get away from in superhero stories: the character ""powers"" are totally inconsistent from scene to scene, and movie to movie. This is a trope that there's no getting away from, because if characters like Captain Marvel, Thor, Scarlet Witch, and Hulk were always as powerful as they show flashes of, then the story wouldn't even be a thing. Any one of them could destroy Thanos in the blink of an eye, and have done similar feats in other stories (and even in other scenes within a given story). That they sometimes ""reduce"" their power to a lower level, without an explained mechanism, is pretty laughable, and makes some parts of the story a bit nonsensical. Yes, this constant Ex Machina is needed to maintain the drama and keep the plot going, but it's still something that takes me out of the story.What I really love about this movie, and the saga as a whole, is how good it is at developing the actual characters and their relationships. There are some similarities, but nobody is the same, and most of the arcs are believable. Thor's story, and apparent PTSD, is to me the best-done, but all of the majors (and some of the minors) are almost as good. I believed them. And for a popcorn action movie saga based on a comic series, I think that's a pretty high compliment.",positive
"I laughed , cried and was speechless. 3 hours well used. It was a perfect ""ending"" of the Avenger Movies.
I will watch it again and again and again. 10 points well deserved!!!",positive
"The Marvel Cinematic Universe comes to a point where a film feels like an actual event. We have been waiting in anticipation for a year to see the final showdown that started in Infinity War. Actually, scratch that. The entire Infinity Saga started way back with Iron Man. 22 films, countless number of heroes coming together in the culminating battle against Thanos. So much anticipation, ticketing app crashes, and going through so much to try to see this on opening night. Now here we are. Does Avengers: Endgame live up to its high expectations? Absolutely. I felt like it was unique and carries the most emotional weight off anything in this universe but it absolutely serves its fans who have been loyal for years and years.The film takes place three weeks after the end of Infinity War. Half of the worlds population have been wiped out by Thanos and now the remaining Avengers (who just so happen to consist summarily of the original Avengers) must find a way to not only defeat Thanos, but also avenge the fallen and find a way to counteract the actions that occurred at the end of Infinity War. As expected the film stars a gigantic cast of Hollywood's best and watch out for the cameos from heroes who have appeared previously in the Marvel Cinematic Universe.I really would like to talk about this film in a spoiler review but as with every review on my site, there will be no spoilers. I will say that this film has a unique take almost immediately. The humor and banter is still there as it always is and the character arcs are as fantastic as ever at its near completion. The film carries the most emotional weight as anything this universe has seen. The film has so much fan service. I think if you go early on and with a packed crowd of fans you will see just how much this means to the audience who have stayed loyal to this saga.There were laughs, there were cheers, there were gasps, and yes there were tears. The film feels like it should be the very last that the MCU has to offer but of course we know there are Spider-Man and Black Panther sequels coming. The final battle brings just about everything you could hope for. If you're a fan of the series I think you will enjoy this film as it makes a case of being the best Avengers film. It goes hand in hand with Infinity War, of course both films were shot together.Members of the original Avengers put on performances that do their characters the utmost justice after being on this journey for a decade. The film builds up quite slowly but once the plot takes form and the battle lines are drawn it delivers in the way the Russo brothers know how to. Th action is there, and all of what makes the Marvel Universe such a sweeping phenomenon is always there. Some characters could get more screen time, sure. You have to remember that there are so many characters that the film has to juggle and it does that admirably as it is.The film will be a box office hit for sure and will be well reviewed in regards to the Universe as I can already see. I will be seeing this again tomorrow morning and have the same excitement going into a second viewing as I did my first. I found this to be a very special entry and feel like it ties up so much in such a perfect fashion. If you are a fan of superhero fans you need to see this as soon as possible and should do..Whatever it takes.9/10",positive
"This movie is easily the best of all 4 Avengers movies. It's long, but also action packed. The finale is just sooooooooooo amazing! The idea of time travel was just really amazing. Seeing all of the disintegrated heroes come back in the end nearly brought a tear to my eye. This movie is easily a 10/10 for me. I suggest you watch this movie if you haven't seen it, because it is a marvel (no pun intended).",positive
"No spoilers here. Story is unexpected and very original. If you thought you knew what will happen - well, you were wrong.
First half is a bit slow, but still interesting, with all the small pieces coming together.
Second part is full time action, almost as good as Infinity Wars, but a bit weaker in details. I do miss more of Dr. Strange more, but, on the other hand, Captain America was much better than expected. Humor was good, as always.Overall, this is a great movie and a decent ending to the saga. I think everyone will be satisfied.",positive
